Day of the Week,Start Time,End Time,Open Time,Close Time,Price Open,Price Close,Price High,Price Low,Volume Traded,Trade Count
Saturday,2022-06-04 23:00:00+00:00,2022-06-05T00:00:00.0000000Z,2022-06-04T23:05:52.2620000Z,2022-06-04T23:38:36.4640000Z,9.221e-05,9.216e-05,9.253e-05,9.213e-05,15261471.7593,9
Sunday,2022-06-05 00:00:00+00:00,2022-06-05T01:00:00.0000000Z,2022-06-05T00:07:24.0840000Z,2022-06-05T00:07:24.0840000Z,9.252e-05,9.252e-05,9.252e-05,9.252e-05,3253317.4996,1
Sunday,2022-06-05 01:00:00+00:00,2022-06-05T02:00:00.0000000Z,2022-06-05T01:09:56.8800000Z,2022-06-05T01:58:35.9880000Z,9.002e-05,8.712e-05,9.041e-05,7.696e-05,905660829.2758,81
Sunday,2022-06-05 02:00:00+00:00,2022-06-05T03:00:00.0000000Z,2022-06-05T02:01:05.1740000Z,2022-06-05T02:57:54.2750000Z,8.612e-05,8.609e-05,8.639e-05,8.426e-05,22515443.3477,4
Sunday,2022-06-05 03:00:00+00:00,2022-06-05T04:00:00.0000000Z,2022-06-05T03:11:49.7420000Z,2022-06-05T03:29:29.2420000Z,8.545e-05,8.405e-05,8.545e-05,8.405e-05,4358388.0973,2
Sunday,2022-06-05 04:00:00+00:00,2022-06-05T05:00:00.0000000Z,2022-06-05T04:10:18.2930000Z,2022-06-05T04:29:56.4880000Z,8.32e-05,8.29e-05,8.32e-05,8.29e-05,3449412.0796,2
Sunday,2022-06-05 08:00:00+00:00,2022-06-05T09:00:00.0000000Z,2022-06-05T08:07:30.2950000Z,2022-06-05T08:07:30.2950000Z,8.488e-05,8.488e-05,8.488e-05,8.488e-05,16963114.6779,1
Sunday,2022-06-05 09:00:00+00:00,2022-06-05T10:00:00.0000000Z,2022-06-05T09:03:47.2000000Z,2022-06-05T09:13:41.8800000Z,8.329e-05,8.275e-05,8.329e-05,8.275e-05,10225320.2255,2
Sunday,2022-06-05 10:00:00+00:00,2022-06-05T11:00:00.0000000Z,2022-06-05T10:30:34.5420000Z,2022-06-05T10:30:34.5420000Z,8.191e-05,8.191e-05,8.191e-05,8.191e-05,141188.9749,1
Sunday,2022-06-05 11:00:00+00:00,2022-06-05T12:00:00.0000000Z,2022-06-05T11:22:46.3750000Z,2022-06-05T11:22:47.4700000Z,8.135e-05,8.102e-05,8.135e-05,8.102e-05,9087939.2247,2
Sunday,2022-06-05 12:00:00+00:00,2022-06-05T13:00:00.0000000Z,2022-06-05T12:01:43.0390000Z,2022-06-05T12:01:43.0390000Z,8.209e-05,8.209e-05,8.209e-05,8.209e-05,1218175.1735,1
Sunday,2022-06-05 14:00:00+00:00,2022-06-05T15:00:00.0000000Z,2022-06-05T14:53:06.6130000Z,2022-06-05T14:53:06.6130000Z,8.07e-05,8.07e-05,8.07e-05,8.07e-05,4022889.6468,1
Sunday,2022-06-05 15:00:00+00:00,2022-06-05T16:00:00.0000000Z,2022-06-05T15:53:17.5100000Z,2022-06-05T15:53:17.5100000Z,8.315e-05,8.315e-05,8.315e-05,8.315e-05,4885838.434,1
Sunday,2022-06-05 19:00:00+00:00,2022-06-05T20:00:00.0000000Z,2022-06-05T19:08:07.9260000Z,2022-06-05T19:52:35.0090000Z,8.315e-05,8.294e-05,8.315e-05,8.294e-05,3670236.5864,3
Sunday,2022-06-05 20:00:00+00:00,2022-06-05T21:00:00.0000000Z,2022-06-05T20:43:53.2740000Z,2022-06-05T20:43:53.2740000Z,8.2e-05,8.2e-05,8.2e-05,8.2e-05,4570000.0,1
Sunday,2022-06-05 21:00:00+00:00,2022-06-05T22:00:00.0000000Z,2022-06-05T21:37:15.9340000Z,2022-06-05T21:59:39.2700000Z,8.171e-05,8.127e-05,8.171e-05,8.127e-05,4595490.6699,4
Sunday,2022-06-05 22:00:00+00:00,2022-06-05T23:00:00.0000000Z,2022-06-05T22:18:04.1010000Z,2022-06-05T22:18:04.1010000Z,8.127e-05,8.127e-05,8.127e-05,8.127e-05,1243402.0009,1
